手机,配置项,中关村在线,太平洋电脑网
华为novaFlip,数据来源,中关村在线,太平洋电脑网
华为novaFlip,型号,华为novaFlip,华为nova Flip
华为novaFlip,手机ID,2100886,2312239
华为novaFlip,上市时间,2024年8月5日纠错,"2024年,8月5日"
华为novaFlip,摄像头参数,视频: 最大支持4K（3840 × 2160）视频录制，支持AIS防抖，支持720p@480fps超级慢动作视频 ；；前置视频: 最大支持3840 × 2160视频录制，支持AIS防抖 720p@480fps基于AI插帧算法技术实现,"重力感应•重力感应是什么•查看所有重力感应华为,距离感应•距离感应是什么•查看所有距离感应华为,光线感应•光线感应是什么•查看所有光线感应华为,霍尔磁感应,色温传感器,电子罗盘•电子罗盘是什么•查看所有电子罗盘华为,陀螺仪•陀螺仪是什么•查看所有陀螺仪华为,指纹识别,地磁传感器|800万像素,超广角摄像头,F2.2"
华为novaFlip,source,中关村在线,太平洋电脑网
华为novaFlip,处理器,八核>,华为海思
华为novaFlip,电池,4400mAh大电池|不可拆卸式电池,不可拆卸式电池
华为novaFlip,屏幕,"主：6.94英寸副：2.1英寸|全面屏（中置挖孔屏），折叠屏>，直面屏>|主：OLED副：OLED|120Hz>|P3广色域|多点触控，最多支持5点触控,318PPI","打孔屏,多点触摸•多点触摸是什么•查看所有多点触摸华为,电容屏•电容屏是什么•查看所有电容屏华为|OLED•OLED是什么•查看所有OLED华为|P3广色域"
华为novaFlip,屏幕分辨率,主：2690x1136px副：480x480px,2690×1136像素(FHD+)|480×480像素
华为novaFlip,机身重量,195g,素皮版：约195g， 玻璃版：约199g
华为novaFlip,存储,256GB>5.2万张照片2.2万首歌曲,"256GB,512GB,1TB"
华为novaFlip,操作系统,HarmonyOS 4.2,"HarmonyOS,HarmonyOS 4.2"
华为novaFlip,SIM卡类型,双卡（Nano SIM卡）>,"nano SIM卡,双卡"
华为novaFlip,蓝牙,蓝牙5.2，支持BLE，支持SBC、AAC，支持LDAC和L2HC高清音频,"蓝牙v5.2,支持LDAC,SBC,AAC,L2HC"
华为novaFlip,像素密度,419ppi,外屏：318 PPI， 内屏：419 PPI
华为novaFlip,闪光灯,后置：闪光灯>,LED闪光灯•LED补光灯是什么•查看所有LED闪光灯华为
